	sample1	sample2	sample3	sample4	sample5	sample6	sample7
K04038	1.00386E-06	5.75446E-07	6.69034E-07	8.07785E-08	2.80265E-08	1.78228E-07	4.98537E-09
K04039	1.13322E-06	6.02789E-07	5.39634E-07	8.89117E-07	1.18792E-07	4.64407E-07	3.61888E-07
K04040	8.50649E-07	1.99038E-07	9.43678E-07	2.95706E-07	5.06673E-08	2.29378E-07	1.10429E-07
K04041	0.000121059	0.0001091	9.30022E-05	0.000135007	0.000227768	0.000643263	2.83509E-05
K04042	0.000820737	0.000755656	0.000785332	0.00069033	0.00077942	0.000138695	0.001350852
K04043	0.001071803	0.000878087	0.000995376	0.001197591	0.001156518	0.001038731	0.001013995
K04044	7.93186E-05	4.62434E-05	0.000177642	0.000190074	0.000192052	1.16274E-05	2.35677E-06
K04045	2.68923E-06	1.00755E-06	2.08594E-05	5.13503E-05	3.10849E-05	7.57391E-06	6.95695E-07
K04046	5.39171E-06	2.45849E-06	1.18914E-06	2.96691E-06	3.38041E-06	5.44914E-06	2.77917E-06
K04047	0.000457826	0.000687658	0.000828825	0.000713178	0.000670133	0.000374177	0.000850121
K04049	0	0	0	1.24854E-08	3.33426E-09	1.92239E-09	0
K04050	0	0	0	0	1.77381E-08	0	0
K04051	0	0	2.02461E-09	9.37831E-10	2.04209E-09	7.77421E-09	0
K04052	0	0	0	5.89642E-09	3.90937E-10	5.82372E-10	0
K04053	4.91534E-07	0	3.91822E-12	1.22674E-08	9.65655E-10	1.34603E-09	0
K04054	3.8964E-08	1.93902E-08	3.01076E-08	1.08819E-07	1.18846E-07	1.17456E-07	1.73274E-08
K04055	0	0	0	0	8.091E-10	0	0
K04056	0	0	4.88053E-09	1.65723E-09	9.59251E-10	1.63647E-07	1.47208E-09
K04057	4.84939E-06	1.40799E-05	8.82733E-07	3.23399E-06	1.71859E-06	8.04188E-07	8.65319E-07
K04058	2.29359E-07	2.47661E-08	6.05313E-08	3.00408E-07	1.31459E-07	5.10289E-07	1.38159E-08
K04059	0	8.36092E-08	1.05674E-08	2.57049E-08	5.96105E-09	1.4568E-07	1.99652E-09
K04060	0	0	0	5.65143E-10	0	8.17213E-10	2.22446E-07
K04061	2.29093E-06	2.79912E-07	5.71402E-06	2.62182E-05	3.02935E-05	4.30023E-05	2.28886E-06
K04062	1.51863E-05	3.18612E-06	0.000164956	0.000162595	0.000224253	3.23966E-06	2.01988E-05
K04063	0.000247277	0.000263924	1.73177E-05	5.73809E-05	3.32741E-05	1.00391E-06	2.69955E-06
K04064	4.4189E-06	6.26909E-07	4.29253E-08	1.7382E-08	2.85299E-08	4.54312E-07	4.4949E-07
K04065	7.53202E-06	1.30268E-06	3.60907E-06	1.16465E-05	2.56748E-05	8.39588E-07	4.11843E-06
K04066	0.000646257	0.000659321	0.000792772	0.000650903	0.00074317	0.000680244	0.000796641
K04067	8.11026E-06	5.31964E-07	7.68494E-05	5.92389E-05	5.03528E-05	5.81764E-06	6.34718E-07
K04068	0.000425691	0.000632482	0.00089288	0.000599341	0.000811015	0.000965204	0.001481579
K04069	0.00048665	0.000147082	0.000997176	0.00088861	0.001069163	0.001058221	0.000130828
K04070	4.5008E-06	8.65745E-07	6.47051E-06	1.40652E-05	2.87918E-05	0.000179032	1.63007E-05
K04071	3.02039E-06	3.68118E-06	2.76254E-06	1.22427E-05	2.08168E-05	1.80399E-06	3.18369E-07
K04072	0.000204676	7.91817E-05	0.000641472	0.00028297	0.000438063	0.000166479	0.001110037
K04073	1.50542E-06	2.06227E-07	3.78391E-07	8.7173E-07	4.44343E-07	9.50265E-07	3.59706E-07
